source_zip,shape_group,shape_entry,shape_sha256,shape_uncompressed_bytes,shape_line_count,shape_zip_compressed_bytes,dedup_component_parts,packaged_no_shapes_zip,notes
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/1974_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/2001_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/2056_stage1_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/2056_stage1and2_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/2056_v2_stage1.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/2056_v2_stage1and2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Layers.zip,,,,0,0,0,,,No shapes.txt entry found.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Mills_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Mills_v3.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Mills_v4.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Millsv2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/alt_metro_coogee.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/alt_metro_coogee_maroubra.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/alt_metro_maroubra.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/bradfield_malabar&sydenham.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/bradfield_staged_part1.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/bradfield_staged_part1and2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/bradfield_staged_part2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/bradfield_staged_part3.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/bradfield_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/bradfield_vaucluse_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/combination.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/combination_metro.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/combination_v3.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/extensive_lightrail.zip,09a7e77e2f0eb394,shapes.txt,09a7e77e2f0eb39448cf14d123a64c2e0d737251d09b5195518674c3c03b0dbf,839001310,12831342,242494007,data/gtfs_shapes_deduplicated/09a7e77e2f0eb394/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/09a7e77e2f0eb394/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/09a7e77e2f0eb394/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group 09a7e77e2f0eb394. bytes=244384128; gzip_sha256=7e24f2f4390407e2c9d016849d3b1ff0a403f1011c69c018ec973aec13239e94.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/extensive_lightrail_v2.zip,1b7d735293f406c6,shapes.txt,1b7d735293f406c6e15b10005b3a31063342ebbf602cbe145fe6cbe066be8b3e,838732561,12825620,242418345,data/gtfs_shapes_deduplicated/1b7d735293f406c6/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/1b7d735293f406c6/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/1b7d735293f406c6/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group 1b7d735293f406c6. bytes=244310407; gzip_sha256=eef280b8be41c2ebab27ca2d4ff7deb99bdc09846ebc6943334be84644a5fc44.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/lightrail_extension.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/lightrail_with_oxford_street.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/new_metro_route.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/smw_v4.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
